,0
0,Albania
1,Andorra
2,Austria
3,Belarus
4,Belgium
5,B & H
6,Bulgaria
7,Croatia
8,Cyprus
9,Czech Republic
10,Denmark
11,Estonia
12,Finland
13,France
14,Germany
15,Greece
16,Hungary
17,Iceland
18,Ireland
19,Italy
20,Kosovo
21,Latvia
22,Liechtenstein
23,Lithuania
24,Luxembourg
25,Macedonia
26,Malta
27,Moldova
28,Monaco
29,Montenegro
30,Netherlands
31,Norway
32,Poland
33,Portugal
34,Romania
35,Russia
36,San Marino
37,Serbia
38,Slovakia
39,Slovenia
40,Spain
41,Sweden
42,Switzerland
43,Turkey
44,Ukraine
45,United Kingdom
46,Vatican City
