country,x,y
Albania,104,-226
Andorra,-143,-196
Austria,19,-114
Belarus,126,2
Belgium,-102,-53
B & H,52,-162
Bulgaria,166,-178
Croatia,35,-162
Cyprus,314,-280
Czech Republic,3,-69
Denmark,-38,42
Estonia,110,100
Finland,98,184
France,-160,-110
Germany,-24,-33
Greece,127,-232
Hungary,75,-108
Iceland,-252,240
Ireland,-218,6
Italy,-57,-150
Kosovo,111,-190
Latvia,114,68
Liechtenstein,-38,-114
Lithuania,107,41
Luxembourg,-78,-70
Macedonia,124,-206
Malta,33,-314
Moldova,179,-84
Monaco,-68,-181
Montenegro,89,-190
Netherlands,-80,-22
Norway,-37,132
Poland,80,-17
Portugal,-284,-225
Romania,150,-122
Russia,272,187
San Marino,-1,-178
Serbia,102,-161
Slovakia,74,-86
Slovenia,24,-136
Spain,-225,-218
Sweden,14,144
Switzerland,-56,-126
Turkey,279,-216
Ukraine,212,-44
United Kingdom,-158,-9
Vatican City,2,-214
